년월,전지구,마우나로아(미국),안면도,
199912,,,,
200001,82.4,84.4,,
200002,82.2,84.4,,
200003,82.1,84.4,,
200004,82.0,84.5,,
200005,81.9,84.6,,
200006,81.9,84.4,,
200007,81.9,,,
200008,81.9,,,
200009,81.8,,,
200010,81.8,83.5,,
200011,81.8,83.6,,
200012,81.8,83.8,,
200101,81.8,83.7,,
200102,81.7,83.6,,
200103,81.7,83.6,,
200104,81.6,83.4,,
200105,81.6,83.4,,
200106,81.5,83.2,,
200107,81.4,83.2,,
200108,81.4,83.2,,
200109,81.4,83.2,,
200110,81.4,83.2,,
200111,81.3,83.2,,
200112,81.3,83.0,,
200201,81.3,83.0,,
200202,81.3,83.0,,
200203,81.2,83.0,,
200204,81.1,83.0,,
200205,81.0,82.8,,
200206,80.9,82.7,,
200207,80.7,82.6,,
200208,80.6,82.5,,
200209,80.6,82.5,,
200210,80.6,82.5,,
200211,80.5,82.6,,
200212,80.5,82.6,,
200301,80.4,82.6,,
200302,80.4,82.6,,
200303,80.4,82.4,,
200304,80.4,82.3,,
200305,80.3,82.2,,
200306,80.2,82.1,,
200307,80.1,82.0,,
200308,80.0,82.0,,
200309,79.9,82.0,,
200310,79.9,82.0,,
200311,79.9,81.9,,
200312,79.8,81.9,,
200401,79.7,81.8,,
200402,79.7,81.8,,
200403,79.6,81.7,,
200404,79.5,81.7,,
200405,79.4,81.4,,
200406,79.4,81.1,,
200407,79.3,81.1,,
200408,79.2,81.1,,
200409,79.2,81.1,,
200410,79.2,81.0,,
200411,79.1,81.2,,
200412,79.1,81.1,,
200501,79.1,81.1,,
200502,79.0,81.1,,
200503,78.9,81.0,,
200504,78.9,81.0,,
200505,78.9,80.9,,
200506,78.8,80.8,,
200507,78.8,80.8,,
200508,78.6,80.8,,
200509,78.6,80.7,,
200510,78.6,80.7,,
200511,78.6,80.6,,
200512,78.5,80.4,,
200601,78.5,79.9,,
200602,78.6,79.8,,
200603,78.4,79.4,,
200604,78.3,79.9,,
200605,78.3,79.9,,
200606,78.2,80.0,,
200607,78.2,79.9,,
200608,78.0,79.8,,
200609,78.0,79.7,,
200610,77.9,79.6,,
200611,77.9,79.6,,
200612,77.8,79.7,,
200701,77.8,79.7,,
200702,77.7,79.7,,
200703,77.6,79.6,,
200704,77.4,79.4,,
200705,77.4,79.5,,
200706,77.3,79.4,,
200707,77.2,79.5,,
200708,77.1,79.3,,
200709,77.1,,,
200710,77.1,,,
200711,77.1,,78.2,
200712,77.0,78.2,79.3,
200801,76.9,78.2,78.6,
200802,76.8,78.2,76.6,
200803,76.8,,77.7,
200804,76.6,,78.7,
200805,76.5,78.5,76.1,
200806,76.4,78.3,,
200807,76.4,78.1,,
200808,76.3,78.0,,
200809,76.3,78.0,75.7,
200810,76.2,78.3,76.1,
200811,76.2,78.2,76.6,
200812,76.1,78.4,,
200901,76.1,78.2,77.8,
200902,76.1,78.3,80.0,
200903,76.0,77.7,78.2,
200904,76.0,77.5,78.4,
200905,75.9,77.3,76.5,
