년월,전지구,마우나로아(미국),안면도,
200906,75.9,77.3,77.3,
200907,75.9,77.3,80.1,
200908,75.9,77.4,77.8,
200909,75.9,77.5,79.8,
200910,75.8,77.3,79.7,
200911,75.7,77.4,80.1,
200912,75.7,77.5,,
201001,75.7,77.5,,
201002,75.6,77.4,,
201003,75.5,77.2,,
201004,75.5,77.2,,
201005,75.4,77.1,,
201006,75.3,77.1,,
201007,75.2,77.0,,
201008,75.1,76.8,,
201009,75.0,76.8,,
201010,75.0,76.7,,
201011,75.0,76.8,,
201012,75.0,76.9,,
201101,74.9,76.8,,
201102,74.9,76.7,,
201103,74.8,76.8,78.4,
201104,74.7,76.7,,
201105,74.6,76.6,78.2,
201106,74.5,76.6,77.9,
201107,74.5,76.6,78.5,
201108,74.5,76.5,80.7,
201109,74.4,76.4,75.1,
201110,74.4,76.4,76.3,
201111,74.3,76.3,75.7,
201112,74.3,76.0,75.3,
201201,74.2,76.1,74.9,
201202,74.2,76.0,76.1,
201203,74.2,76.0,77.2,
201204,74.1,75.9,78.7,
201205,74.0,75.8,,
201206,73.8,75.7,,
201207,73.7,75.6,74.4,
201208,73.7,75.6,,
201209,73.7,75.6,,
201210,73.6,75.6,74.3,
201211,73.6,75.6,74.1,
201212,73.6,75.6,74.2,
201301,73.6,75.7,74.7,
201302,73.5,75.3,74.2,
201303,73.5,75.5,73.1,
201304,73.4,75.2,73.3,
201305,73.3,74.5,73.6,
201306,73.2,74.3,73.7,
201307,73.1,74.5,74.0,
201308,73.1,74.6,74.2,
201309,73.0,74.6,76.6,
201310,73.0,74.8,,
201311,73.0,74.7,,
201312,72.9,74.6,73.6,
201401,72.9,74.5,73.7,
201402,72.8,74.7,,
201403,72.8,74.6,72.4,
201404,72.7,74.5,73.4,
201405,72.6,74.6,73.6,
201406,72.5,74.2,72.1,
201407,72.5,74.1,72.0,
201408,72.5,73.8,72.2,
201409,72.4,73.7,,
201410,72.4,73.8,71.5,
201411,72.4,,,
201412,72.4,73.9,,
201501,72.3,73.9,,
201502,72.3,73.9,74.1,
201503,72.2,73.8,76.3,
201504,72.2,73.8,,
201505,72.1,73.8,72.3,
201506,72.0,73.8,72.8,
201507,71.9,73.8,71.1,
201508,71.9,73.8,70.8,
201509,71.9,73.0,71.0,
201510,71.8,73.2,,
201511,71.8,73.2,71.2,
201512,71.8,73.2,71.3,
201601,71.8,73.2,71.0,
201602,71.8,73.1,71.7,
201603,71.7,73.0,71.2,
201604,71.6,73.0,71.8,
201605,71.5,72.8,72.0,
201606,71.4,72.8,71.9,
201607,71.3,72.7,71.5,
201608,71.3,72.6,70.9,
201609,71.2,72.6,71.0,
201610,71.2,72.6,71.1,
201611,71.2,72.8,71.4,
201612,71.2,72.6,71.3,
201701,71.1,72.6,71.7,
201702,71.1,72.5,72.0,
201703,71.0,72.5,72.1,
201704,70.9,72.5,70.8,
201705,70.9,72.3,71.3,
201706,70.8,72.4,71.6,
201707,70.8,72.4,71.3,
201708,70.7,72.5,71.2,
201709,70.7,72.4,71.3,
201710,70.7,72.4,70.9,
201711,70.7,72.5,70.2,
201712,70.6,72.5,70.0,
201801,70.6,72.5,70.0,
201802,70.6,72.4,70.1,
201803,70.5,72.4,70.4,
201804,70.4,71.8,70.4,
201805,70.4,71.8,70.6,
201806,70.3,71.8,70.6,
201807,70.2,71.7,70.2,
201808,70.2,71.7,70.2,
201809,70.1,71.5,69.7,
201810,70.1,71.6,69.7,
201811,70.0,71.7,70.1,
201812,70.0,71.6,71.0,
201901,70.0,71.7,71.0,
201902,69.9,71.5,70.9,
201903,69.8,71.5,70.9,
201904,69.8,71.4,70.8,
201905,69.7,71.3,69.6,
201906,69.6,70.7,69.3,
201907,69.5,70.8,68.9,
201908,69.5,70.8,68.9,
201909,69.4,70.9,69.5,
201910,69.4,70.8,69.3,
201911,69.3,70.9,,
201912,69.3,70.8,,
202001,69.2,70.8,,
202002,69.2,70.8,,
202003,69.1,70.7,,
202004,69.1,70.8,,
202005,69.0,70.9,,
202006,69.0,70.8,69.1,
202007,68.9,70.7,69.1,
202008,68.9,70.7,68.9,
202009,68.8,70.7,69.0,
202010,68.8,70.6,68.8,
202011,68.8,70.7,68.6,
202012,68.7,70.6,68.9,
