date,CO2_avg,CH4_avg,N2O_avg,CFC11_avg,CFC12_avg,CFC113_avg,SF6_avg
2018-09-04,,,,,,,9.9
2018-09-05,406.91,,,,,,10
2018-09-11,,,,,,,9.7
2018-09-12,,,,,,,9.7
2018-09-13,,,,,,,9.8
2018-09-14,,,,,,,9.8
2018-09-15,,,,,,,9.9
2018-09-16,406.26,,,,,,9.9
2018-09-20,403.63,,,,,,9.9
2018-09-21,404.37,,,,,,9.8
2018-09-22,408.84,,,,,,9.9
2018-09-24,408.87,,,,,,9.9
2018-09-25,410.6,,,,,,9.8
2018-09-26,411.04,,,,,,9.8
2018-09-27,408.9,,,,,,9.8
2018-09-28,408.66,,,,,,9.8
2018-09-29,,,,,,,9.8
2018-09-30,,,,,,,9.9
2018-10-01,411.34,,,,,,
2018-10-02,412.63,,,,,,9.9
2018-10-03,411.27,,,,,,
2018-10-04,,,,,,,9.9
2018-10-05,411.55,,,,,,
2018-10-06,,,,,,,9.6
2018-10-07,410.16,,,,,,9.9
2018-10-08,408.21,,,,,,9.8
2018-10-09,407.57,,,,,,9.8
2018-10-10,411.27,,,,,,9.8
2018-10-11,413.99,,,,,,9.9
2018-10-12,414.73,,,,,,9.8
2018-10-13,412.25,,,,,,9.8
2018-10-14,411.29,,,,,,9.8
2018-10-15,418.48,,,,,,
2018-10-17,414.65,,,,,,9.8
2018-10-18,415,,,,,,9.9
2018-10-19,412.43,,,,,,9.8
2018-10-20,411.73,,,,,,9.8
2018-10-21,412.76,,,,,,9.8
2018-10-22,412.32,,,,,,9.8
2018-10-24,416.31,,,,,,
2018-10-25,416.64,,,,,,
2018-10-26,413.84,,,,,,
2018-10-27,415.2,,,,,,
2018-10-28,413.89,,,,,,
2018-10-29,414.23,,,,,,9.9
2018-10-30,417.05,,,,,,9.9
2018-10-31,415.72,,,,,,9.9
2018-11-01,413.23,,,,,,9.9
2018-11-02,413.31,,,,,,9.9
2018-11-03,412.2,,,,,,9.9
2018-11-04,412.18,,,,,,9.8
2018-11-05,411.79,,,,,,9.9
2018-11-06,420.01,,,,,,
2018-11-07,418.4,,,,,,
2018-11-08,415.9,,,,,,
2018-11-10,425.91,,,,,,
2018-11-11,423.07,,,,,,
2018-11-12,414.48,,,,,,9.9
2018-11-13,415.27,,,,,,9.9
2018-11-14,416.21,,,,,,9.9
2018-11-15,414.59,,,,,,9.9
2018-11-17,416.57,,,,,,
2018-11-18,415.27,,,,,,9.9
2018-11-19,420.2,,,,,,9.9
2018-11-20,416.15,,,,,,9.9
2018-11-21,418.61,,,,,,
2018-11-22,414.18,,,,,,9.9
2018-11-23,413.75,,,,,,9.9
2018-11-24,414.78,,,,,,9.9
2018-11-25,422.48,,,,,,
2018-11-26,417.82,,,,,,
2018-11-28,413.22,,,,,,9.9
2018-11-29,418.21,,,,,,9.9
2018-11-30,415.28,,,,,,10
2018-12-01,417.18,,,,,,
2018-12-02,415.34,,,,,,10
2018-12-04,420.75,,,,,,
2018-12-05,416.96,,,,,,9.9
2018-12-06,415.13,,,,,,9.9
2018-12-07,414.68,,,,,,9.9
2018-12-08,414.38,,,,,,9.9
2018-12-09,414.78,,,,,,10
2018-12-10,413.74,,,,,,9.9
2018-12-11,413.57,,,,,,9.9
2018-12-12,417.15,,,,,,10
2018-12-13,417.61,,,,,,10
2018-12-14,416.42,,,,,,10
2018-12-15,414.3,,,,,,9.9
2018-12-16,416.68,,,,,,10
2018-12-17,419.57,,,,,,
2018-12-18,415.35,,,,,,10
2018-12-19,420.72,,,,,,
2018-12-20,417.87,,,,,,
2018-12-21,417.59,,,,,,
2018-12-22,424.23,,,,,,
2018-12-23,419.67,,,,,,
2018-12-24,416.48,,,,,,10
2018-12-25,418.03,,,,,,
2018-12-26,422.36,,,,,,10
2018-12-27,415.56,,,,,,9.9
2018-12-28,416.28,,,,,,9.9
2018-12-29,415.84,,,,,,9.9
2018-12-30,415.74,,,,,,9.9
2018-12-31,415.12,,,,,,9.9
2019-01-01,416.71725,1953.931319,,,,,10.01496667
2019-01-02,416.291,,,,,,9.97205
2019-01-03,415.15665,,,,,,9.981438889
2019-01-04,418.74841,1958.62255,,,,,
2019-01-05,422.86869,1986.762459,,,,,10.0347
2019-01-06,415.90032,1955.806448,,,,,10.04697647
2019-01-07,418.16465,1965.726292,,,,,
2019-01-08,417.07965,1953.665038,,,,,10.01141429
2019-01-09,416.10503,1959.944428,,,,,9.984153846
2019-01-10,417.22407,1954.405465,,,,,10.0253
2019-01-11,418.78166,,,,,,10.02038333
2019-01-12,416.92856,,,,,,10.03792727
2019-01-13,418.55757,1964.879362,,,,,
2019-01-14,416.99621,1951.372491,,,,,10.0668
2019-01-16,417.92316,1966.589765,,,,,10.0346
2019-01-17,418.89844,,,,,,10.02655
2019-01-18,417.83802,1971.361802,,,,,9.996045455
2019-01-19,421.05819,,,,,,
2019-01-20,420.93962,1986.972939,,,,,10.0491
2019-01-21,418.72697,1969.520755,,,,,9.9623
2019-01-22,418.56416,1965.849106,,,,,
2019-01-23,422.07471,1982.206487,,,,,
2019-01-24,417.7708,1965.997252,,,,,10.01005
2019-01-25,418.96486,1969.675095,,,,,10.04871667
2019-01-26,417.70606,1966.825394,,,,,9.99911
2019-01-27,417.04009,1955.380918,,,,,9.973141667
2019-01-28,420.19001,1972.73633,,,,,10.0927
2019-01-29,417.76339,,,,,,9.99890625
2019-01-30,420.73063,1980.000935,,,,,
2019-01-31,417.40141,1965.812425,,,,,10.01012857
2019-02-01,418.43209,1964.299054,,,,,10.02616
2019-02-02,420.56264,1971.64695,,,,,
2019-02-03,422.41863,1978.529574,,,,,
2019-02-04,420.0652,1982.471067,,,,,10.040325
2019-02-05,,1976.832291,,,,,10.061
2019-02-06,421.84756,1996.564605,,,,,
2019-02-07,419.99298,1975.369457,,,,,10.03606
2019-02-08,417.88505,1965.466652,,,,,10.00084
2019-02-09,418.50069,1971.550888,,,,,10.03761429
2019-02-10,418.5492,1969.955641,,,,,10.02421
2019-02-11,418.0988,1962.346259,,,,,10.03709375
2019-02-12,420.92584,1970.764147,,,,,10.03999091
2019-02-13,420.20872,1974.556191,,,,,10.0292
2019-02-14,416.9499,1957.415575,,,,,9.99067
2019-02-15,416.34047,1952.933424,,,,,9.990425
2019-02-16,424.2216,1992.359218,,,,,
2019-02-17,422.72672,1977.412689,,,,,
2019-02-18,421.90779,1975.393476,,,,,
2019-02-19,419.27907,1956.067055,,,,,
2019-02-20,419.89703,1962.922983,,,,,10.08977143
2019-02-21,424.46827,1977.903312,,,,,
2019-02-22,421.63529,1968.486387,,,,,
2019-02-23,419.23013,1975.577431,,,,,10.03707
2019-02-24,418.29761,1970.676182,,,,,10.0516
2019-02-25,421.57524,1978.886746,,,,,
2019-02-26,420.94015,1977.010111,,,,,
2019-02-27,419.72194,1973.115314,,,,,
2019-02-28,422.16869,1983.066009,,,,,
2019-03-01,422.54643,,,,,,
2019-03-02,422.61215,1973.7365,,,,,
2019-03-03,419.62633,1965.372626,,,,,
2019-03-04,420.20361,1966.870539,,,,,
2019-03-05,422.1692,,,,,,
2019-03-07,418.5334,1969.821848,,,,,
2019-03-08,418.6951,1963.257649,,,,,
2019-03-09,423.30606,1979.249568,,,,,
2019-03-10,418.72941,1953.127196,,,,,
2019-03-11,419.77327,1967.81904,,,,,
2019-03-12,425.46204,1991.165789,,,,,
2019-03-13,419.96275,1973.519577,,,,,10.0925
2019-03-14,420.3587,1970.869331,,,,,10.07762
2019-03-15,421.27543,1977.306993,,,,,
2019-03-16,419.3302,1967.886352,,,,,10.04795
2019-03-17,421.31958,1976.032396,,,,,
2019-03-18,422.30961,1975.491442,,,,,
2019-03-19,423.98295,1972.1374,,,,,
2019-03-20,,2001.920838,,,,,
2019-03-21,422.46561,1973.841566,,,,,10.09775
2019-03-22,421.65397,1981.811447,,,,,10.06442353
2019-03-23,419.75272,1969.435327,,,,,10.06656875
2019-03-24,420.41675,1972.600804,,,,,10.08685833
2019-03-25,423.19376,1994.372976,,,,,
2019-03-26,425.54073,2007.873657,,,,,10.10656667
2019-03-27,,,,,,,10.1619
2019-03-28,420.20487,1972.112847,,,,,10.04498889
2019-03-29,420.63947,,,,,,10.0731
2019-03-30,422.28796,1974.853577,,,,,
2019-03-31,420.51023,1971.411929,,,,,10.08226429
2019-04-01,419.9772,1967.740774,,,,,10.0804625
2019-04-02,419.83696,1965.165316,,,,,10.1035
2019-04-03,420.38411,1964.442131,,,,,10.13238462
2019-04-04,422.69942,1972.667742,,,,,
2019-04-05,421.39205,1968.075005,,,,,10.089675
2019-04-06,418.51452,1951.245753,,,,,10.10586875
2019-04-07,419.67428,1957.513323,,,,,10.09284615
2019-04-08,419.92066,1959.946249,,,,,10.0811875
2019-04-09,419.73786,1961.497003,,,,,10.05651
2019-04-10,418.52217,1950.573521,,,,,
2019-04-11,418.68761,1949.346369,,,,,
2019-04-12,419.47269,1952.000717,,,,,
2019-04-13,422.86626,1962.8377,,,,,
2019-04-14,423.76691,1970.361094,,,,,
2019-04-15,419.9331,1957.627729,,,,,
2019-04-16,,1970.064553,,,,,
2019-04-18,,1963.607791,,,,,
2019-04-19,418.6081,,,,,,9.987831579
2019-04-20,418.16501,1951.461985,,,,,9.94844
2019-04-21,418.46566,1951.185089,,,,,10.15454
2019-04-22,419.20602,,,,,,10.17206667
2019-04-23,420.83316,1951.622052,,,,,
2019-04-24,,1943.420139,,,,,10.19275
2019-04-25,419.72568,1952.656451,,,,,10.065425
2019-04-26,419.63201,1955.496418,,,,,10.00431667
2019-04-27,419.91793,1957.0118,,,,,10.007665
2019-04-28,420.53693,1956.812383,,,,,10.03190625
2019-04-29,418.53104,,,,,,10.04045
2019-04-30,419.31053,,,,,,10.18004286
2019-05-01,419.73975,1953.812746,,,,,10.2248
2019-05-02,421.34036,1963.462578,,,,,10.11064
2019-05-03,419.67422,1955.985439,,,,,10.12715
2019-05-04,424.21781,1968.310428,,,,,
2019-05-05,419.96159,1946.202909,,,,,10.18812
2019-05-06,420.52371,1960.63404,,,,,10.01519333
2019-05-07,420.29183,1955.105698,,,,,10.04463333
2019-05-08,,1966.161488,,,,,
2019-05-09,420.33578,1981.005772,,,,,
2019-05-10,421.06658,,,,,,
2019-05-11,422.4942,1976.191345,,,,,
2019-05-12,420.66248,,,,,,
2019-05-13,418.86872,1956.605033,,,,,10.099975
2019-05-14,,,,,,,10.2233
2019-05-15,,1940.552766,,,,,10.2485
2019-05-16,418.34661,1942.229352,,,,,10.2271625
2019-05-17,417.6702,1936.930203,,,,,10.21135294
2019-05-18,418.2124,1935.608851,,,,,10.20842632
2019-05-19,416.98464,1929.17923,,,,,10.1848
2019-05-20,417.85693,1944.018504,,,,,10.14939231
2019-05-21,421.30435,1955.403115,,,,,10.10115833
2019-05-22,422.44775,1970.252155,,,,,10.10173
2019-05-23,,1970.195742,,,,,10.0982
2019-05-24,,,,,,,10.1897
2019-05-25,,,,,,,10.1819
2019-05-26,419.69288,1976.609356,,,,,10.06565
2019-05-27,418.82415,1954.880184,,,,,10.08335714
2019-05-28,415.30437,1950.323207,,,,,10.16706875
2019-05-29,417.21386,1951.012917,,,,,10.23421429
2019-05-30,,1966.837383,,,,,
2019-05-31,415.20163,1954.675609,,,,,
2019-06-01,415.74765,1962.597551,,,,,
2019-06-02,,1967.060764,,,,,
2019-06-04,,1981.173496,,,,,
2019-06-05,415.99966,,,,,,10.162075
2019-06-06,418.78909,1993.385145,,,,,10.16997857
2019-06-07,415.31059,1963.738702,,,,,10.04871667
2019-06-08,412.7567,1963.131276,,,,,10.155675
2019-06-09,410.72116,1958.475054,,,,,10.17421176
2019-06-10,411.15462,1954.313705,,,,,10.16225556
2019-06-11,410.14308,1949.961975,,,,,10.176525
2019-06-12,,1947.154219,,,,,10.29982353
2019-06-13,409.49334,1940.48525,,,,,10.48002
2019-06-14,412.32802,1940.697639,,,,,10.572445
2019-06-15,,1937.796846,,,,,10.48473
2019-06-16,,,,,,,10.37603
2019-06-17,410.9221,1939.323421,,,,,10.398035
2019-06-18,,,,,,,10.59892
2019-06-21,,,,,,,10.5416
2019-06-22,,1968.580847,,,,,10.47598125
2019-06-23,407.70849,1952.536602,,,,,10.672675
2019-06-24,407.96219,,,,,,10.63985
2019-06-25,408.32729,1937.15207,,,,,10.627275
2019-06-26,409.4596,1944.328706,,,,,10.6851
2019-06-27,,,,,,,10.59976
2019-06-28,414.22807,1937.968553,,,,,10.74567692
2019-06-29,,,,,,,10.75239231
2019-06-30,,1971.852733,,,,,10.8197
2019-07-06,405.95417,1987.517256,,,,,
2019-07-07,403.87882,1957.438696,,,,,10.66877778
2019-07-08,406.09991,1950.409662,,,,,10.57647
2019-07-09,402.93841,1951.091852,,,,,10.61629
2019-07-10,406.38241,1951.191883,,,,,10.614375
2019-07-11,,1941.317046,,,,,10.69944737
2019-07-12,404.48095,1942.758252,,,,,10.55579444
2019-07-15,407.80485,,,,,,10.9407
2019-07-16,,,,,,,10.68013158
2019-07-17,402.39649,,,,,,10.611355
2019-07-18,406.6638,1948.897451,,,,,10.84942105
2019-07-19,415.13379,1857.85573,,,,,10.7439
2019-07-20,417.42944,1858.12476,,,,,
2019-07-21,418.50617,1891.157125,,,,,
2019-07-26,,,,,,,10.50773333
2019-07-28,,1875.024246,,,,,10.7400875
2019-07-29,,1862.91322,,,,,10.63537647
